country,gender,age_group,year,unemployment_rate
Bosnia and Herzegovina,Female,15+,2015,30.69
Bosnia and Herzegovina,Female,15-24,2015,67.34
Bosnia and Herzegovina,Female,25+,2015,26.5
Bosnia and Herzegovina,Male,15+,2014,25.18
Bosnia and Herzegovina,Male,15-24,2014,60.98
Bosnia and Herzegovina,Male,25+,2014,20.96
Bosnia and Herzegovina,Female,15+,2014,31.17
Bosnia and Herzegovina,Female,15-24,2014,65.41
Bosnia and Herzegovina,Female,25+,2014,27.36
Bosnia and Herzegovina,Male,15+,2013,26.55
Bosnia and Herzegovina,Male,15-24,2013,59.08
Bosnia and Herzegovina,Male,25+,2013,22.35
Bosnia and Herzegovina,Female,15+,2013,29.02
Bosnia and Herzegovina,Female,15-24,2013,59.2
Bosnia and Herzegovina,Female,25+,2013,26.03
Belarus,Male,15+,2022,4.24
Belarus,Male,15-24,2022,10.7
Belarus,Male,25+,2022,3.68
Belarus,Female,15+,2022,2.91
Belarus,Female,15-24,2022,9.82
Belarus,Female,25+,2022,2.37
Belarus,Male,15+,2021,4.73
Belarus,Male,15-24,2021,11.35
Belarus,Male,25+,2021,4.17
Belarus,Female,15+,2021,3.07
Belarus,Female,15-24,2021,9.6
Belarus,Female,25+,2021,2.55
Belarus,Male,15+,2020,4.77
Belarus,Male,15-24,2020,13.77
Belarus,Male,25+,2020,3.94
Belarus,Female,15+,2020,3.3
Belarus,Female,15-24,2020,10.09
Belarus,Female,25+,2020,2.73
Belarus,Male,15+,2019,5.11
Belarus,Male,15-24,2019,12.88
Belarus,Male,25+,2019,4.4
Belarus,Female,15+,2019,3.2
Belarus,Female,15-24,2019,7.34
Belarus,Female,25+,2019,2.84
Belarus,Male,15+,2018,5.93
Belarus,Male,15-24,2018,12.67
Belarus,Male,25+,2018,5.26
Belarus,Female,15+,2018,3.56
Belarus,Female,15-24,2018,8.37
Belarus,Female,25+,2018,3.13
Belarus,Male,15+,2017,7.23
Belarus,Male,15-24,2017,11.24
Belarus,Male,25+,2017,6.78
Belarus,Female,15+,2017,4.04
Belarus,Female,15-24,2017,7.24
Belarus,Female,25+,2017,3.71
Belarus,Male,15+,2016,7.48
Belarus,Male,15-24,2016,12.65
Belarus,Male,25+,2016,6.88
Belarus,Female,15+,2016,4.19
Belarus,Female,15-24,2016,8.49
Belarus,Female,25+,2016,3.76
Belize,Male,15+,2021,6.84
Belize,Male,15-24,2021,13.87
Belize,Male,25+,2021,4.74
Belize,Female,15+,2021,15.13
Belize,Female,15-24,2021,29.23
Belize,Female,25+,2021,11.24
Belize,Male,15+,2019,5.87
Belize,Male,15-24,2019,12.73
Belize,Male,25+,2019,3.7
Belize,Female,15+,2019,13.58
Belize,Female,15-24,2019,28.53
Belize,Female,25+,2019,8.78
Belize,Male,15+,2017,4.59
Belize,Male,15-24,2017,9.53
Belize,Male,25+,2017,3.11
Belize,Female,15+,2017,9.81
Belize,Female,15-24,2017,24.78
Belize,Female,25+,2017,5.43
Belize,Male,15+,2016,4.4
Belize,Male,15-24,2016,11.02
Belize,Male,25+,2016,2.37
Belize,Female,15+,2016,11.14
Belize,Female,15-24,2016,25.66
Belize,Female,25+,2016,7.28
Belize,Male,15+,2015,5.44
Belize,Male,15-24,2015,11.22
Belize,Male,25+,2015,3.68
Belize,Female,15+,2015,11.07
Belize,Female,15-24,2015,25.51
Belize,Female,25+,2015,7.1
Belize,Male,15+,2014,4.75
Belize,Male,15-24,2014,12.0
Belize,Male,25+,2014,2.49
